Email address,State,Started on,Completed,Time taken,Grade/100.00,Q. 1 /12.50,Q. 2 /12.50,Q. 3 /12.50,Q. 4 /12.50,Q. 5 /12.50,Q. 6 /12.50,Q. 7 /12.50,Q. 8 /12.50
101,Finished,11 November 2020  12:51 PM,11 November 2020  1:04 PM,12 mins 37 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
102,Finished,11 November 2020  12:51 PM,11 November 2020  1:16 PM,24 mins 11 secs,53.13,6.25,-3.13,6.25,12.50,6.25,12.50,12.50,0.00
14,Finished,11 November 2020  12:52 PM,11 November 2020  12:55 PM,3 mins 50 secs,64.58,12.50,-3.13,5.21,12.50,12.50,12.50,12.50,0.00
103,Finished,11 November 2020  12:52 PM,11 November 2020  1:20 PM,28 mins 4 secs,87.5,12.50,12.50,12.50,12.50,12.50,12.50,12.50,0.00
52,Finished,11 November 2020  12:53 PM,11 November 2020  1:25 PM,31 mins 47 secs,31.25,-,-3.13,0.00,12.50,12.50,12.50,-3.13,0.00
104,Finished,11 November 2020  12:53 PM,11 November 2020  1:05 PM,11 mins 40 secs,53.13,0.00,-3.13,12.50,12.50,6.25,12.50,12.50,0.00
70,Finished,11 November 2020  12:54 PM,11 November 2020  1:25 PM,31 mins 2 secs,0.0,-,-,-,-,-,-,-,-
105,Finished,11 November 2020  12:54 PM,11 November 2020  1:08 PM,14 mins 34 secs,31.25,0.00,-3.13,6.25,12.50,6.25,12.50,-3.13,0.00
106,Finished,11 November 2020  12:55 PM,11 November 2020  1:27 PM,31 mins 55 secs,0.0,-,-,-,-,-,-,-,-
107,Finished,11 November 2020  12:55 PM,11 November 2020  1:09 PM,14 mins 11 secs,43.75,12.50,-3.13,12.50,12.50,0.00,12.50,-3.13,0.00
58,Finished,11 November 2020  12:55 PM,11 November 2020  1:27 PM,31 mins 10 secs,51.04,6.25,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
108,Finished,11 November 2020  12:55 PM,11 November 2020  1:25 PM,30 mins 1 sec,18.75,3.13,-3.13,12.50,12.50,0.00,-3.13,-3.13,0.00
109,Finished,11 November 2020  12:56 PM,11 November 2020  1:17 PM,21 mins 39 secs,53.13,0.00,12.50,12.50,12.50,6.25,12.50,-3.13,0.00
2,Finished,11 November 2020  12:56 PM,11 November 2020  12:57 PM,1 min 30 secs,65.63,12.50,12.50,12.50,12.50,6.25,12.50,-3.13,0.00
110,Finished,11 November 2020  12:56 PM,11 November 2020  1:20 PM,24 mins 8 secs,18.75,12.50,-3.13,0.00,12.50,0.00,-,-3.13,0.00
27,Finished,11 November 2020  12:57 PM,11 November 2020  1:25 PM,28 mins 12 secs,44.79,6.25,-3.13,4.17,12.50,0.00,12.50,12.50,0.00
111,Finished,11 November 2020  12:57 PM,11 November 2020  1:08 PM,10 mins 43 secs,46.88,3.13,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
55,Finished,11 November 2020  12:57 PM,11 November 2020  1:29 PM,31 mins 18 secs,59.38,0.00,-3.13,12.50,12.50,0.00,12.50,12.50,12.50
112,Finished,11 November 2020  12:59 PM,11 November 2020  1:10 PM,11 mins 38 secs,40.63,0.00,-3.13,12.50,0.00,6.25,12.50,12.50,0.00
113,Finished,11 November 2020  12:59 PM,11 November 2020  1:27 PM,28 mins 54 secs,78.13,6.25,12.50,12.50,12.50,9.38,12.50,12.50,0.00
114,Finished,11 November 2020  12:59 PM,11 November 2020  1:29 PM,30 mins 1 sec,47.92,3.13,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
100,Finished,11 November 2020  1:00 PM,11 November 2020  1:04 PM,4 mins 51 secs,31.25,6.25,-3.13,0.00,12.50,6.25,12.50,-3.13,0.00
115,Finished,11 November 2020  1:00 PM,11 November 2020  1:27 PM,27 mins 19 secs,26.04,0.00,12.50,4.17,0.00,0.00,12.50,-3.13,0.00
97,Finished,11 November 2020  1:00 PM,11 November 2020  1:03 PM,3 mins 22 secs,38.54,0.00,12.50,4.17,12.50,0.00,12.50,-3.13,0.00
116,Finished,11 November 2020  1:01 PM,11 November 2020  1:31 PM,30 mins 1 sec,51.04,6.25,-3.13,4.17,12.50,6.25,12.50,12.50,0.00
117,Finished,11 November 2020  1:01 PM,11 November 2020  1:33 PM,31 mins 40 secs,0.0,-,-,-,-,-,-,-,-
118,Finished,11 November 2020  1:01 PM,11 November 2020  1:22 PM,20 mins 51 secs,16.67,3.13,-3.13,1.04,0.00,6.25,12.50,-3.13,0.00
119,Finished,11 November 2020  1:02 PM,11 November 2020  1:23 PM,21 mins 12 secs,71.88,12.50,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
120,Finished,11 November 2020  1:02 PM,11 November 2020  1:19 PM,17 mins 11 secs,13.54,3.13,-3.13,4.17,0.00,0.00,12.50,-3.13,0.00
121,Finished,11 November 2020  1:02 PM,11 November 2020  1:25 PM,23 mins 10 secs,56.25,3.13,-3.13,6.25,12.50,12.50,12.50,12.50,0.00
122,Finished,11 November 2020  1:02 PM,11 November 2020  1:22 PM,19 mins 44 secs,37.5,0.00,-3.13,12.50,12.50,6.25,12.50,-3.13,0.00
123,Finished,11 November 2020  1:02 PM,11 November 2020  1:26 PM,23 mins 20 secs,59.38,0.00,-3.13,12.50,12.50,12.50,12.50,12.50,0.00
124,Finished,11 November 2020  1:04 PM,11 November 2020  1:28 PM,24 mins 27 secs,63.54,12.50,-3.13,4.17,12.50,12.50,12.50,12.50,0.00
125,Finished,11 November 2020  1:04 PM,11 November 2020  1:18 PM,14 mins 14 secs,29.17,0.00,-3.13,4.17,12.50,6.25,12.50,-3.13,0.00
98,Finished,11 November 2020  1:04 PM,11 November 2020  1:32 PM,28 mins 5 secs,18.75,3.13,-3.13,6.25,12.50,6.25,-3.13,-3.13,0.00
72,Finished,11 November 2020  1:04 PM,11 November 2020  1:21 PM,16 mins 11 secs,46.88,6.25,-3.13,0.00,12.50,6.25,12.50,12.50,0.00
90,Finished,11 November 2020  1:05 PM,11 November 2020  1:20 PM,15 mins 18 secs,56.25,12.50,-3.13,12.50,12.50,12.50,12.50,-3.13,0.00
126,Finished,11 November 2020  1:05 PM,11 November 2020  1:35 PM,30 mins 2 secs,59.38,3.13,12.50,12.50,12.50,6.25,12.50,-,0.00
127,Finished,11 November 2020  1:06 PM,11 November 2020  1:08 PM,1 min 53 secs,46.88,0.00,-3.13,0.00,12.50,12.50,12.50,12.50,0.00
